,Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Adj Close,QQQ_Volume,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Adj Close,IWM_Volume,unemployment_Actual,unemployment_Forecast,unemployment_Previous,Announcement_Day
93,5/16/2018,271.140015,272.76001,271.109985,272.23999,246.430862,53942600,168.089996,169.369995,168.009995,168.979996,162.18663,22941200,159.490005,161.320007,159.470001,160.919998,148.810181,21004400,3.90%,4.00%,4.10%,FALSE
94,5/17/2018,271.940002,273.230011,271.130005,272.01001,246.222763,56536400,168.389999,169.610001,167.509995,168.330002,161.562744,27480200,161,162,160.75,161.660004,149.494507,18639700,3.90%,4.00%,4.10%,FALSE
95,5/18/2018,271.619995,272.029999,270.929993,271.329987,245.607178,64368000,167.679993,168.259995,167.210007,167.460007,160.727707,26217900,161.949997,162.320007,161.550003,161.869995,149.68869,17579800,3.90%,4.00%,4.10%,FALSE
96,5/21/2018,273.01001,273.980011,272.570007,273.369995,247.453766,58025900,168.759995,169.5,167.679993,168.399994,161.629868,22954600,162.369995,163.240005,162.360001,162.940002,150.678146,15667300,3.90%,4.00%,4.10%,FALSE
97,5/22/2018,273.959991,274.25,272.23999,272.609985,246.765823,52966400,169.169998,169.449997,167.880005,168.179993,161.418762,19477700,163.259995,163.330002,161.630005,161.759995,149.58699,13212000,3.90%,4.00%,4.10%,FALSE
98,5/23/2018,271.170013,273.390015,270.98999,273.359985,247.444702,64694200,166.899994,169.619995,166.880005,169.600006,162.781647,26557800,161.330002,162.279999,161.130005,161.970001,149.781174,14235700,3.90%,4.00%,4.10%,FALSE
99,5/24/2018,272.910004,273.220001,270.779999,272.799988,246.93779,76043800,169.550003,169.850006,167.839996,169.550003,162.733673,27696500,161.919998,162.350006,160.619995,162.029999,149.8367,12785000,3.90%,4.00%,4.10%,FALSE
100,5/25/2018,272.149994,272.859985,271.579987,272.149994,246.349472,56374800,169.529999,170.330002,169.210007,169.720001,162.896866,27460500,161.75,162.160004,161.470001,161.740005,149.568481,11150200,3.90%,4.00%,4.10%,FALSE
101,5/29/2018,270.309998,271.170013,267.76001,269.019989,243.516144,115908600,168.949997,169.919998,167.960007,168.970001,162.177002,41220500,160.880005,162.229996,160.110001,161.520004,149.365051,20986900,3.90%,4.00%,4.10%,FALSE
102,5/30/2018,270.5,273.109985,270.420013,272.609985,246.765823,69678400,169.580002,170.479996,169.220001,170.179993,163.338364,22665800,162.360001,164.389999,162.360001,164.080002,151.732361,25169000,3.90%,4.00%,4.10%,FALSE
